y,y/(L/2),t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30,t=31,t=32,t=33,t=34,t=35,t=36,t=37,t=38,t=39,t=40,t=41,t=42,t=43,t=44,t=45,t=46,t=47,t=48,t=49,t=50,t=51,t=52,t=53,t=54,t=55,t=56,t=57,t=58,t=59,t=60,t=61,t=62,t=63,t=64,t=65,t=66,t=67,t=68,t=69,t=70,t=71,t=72,t=73,t=74,t=75,t=76,t=77,t=78,t=79,t=80,t=81,t=82,t=83,t=84,t=85,t=86,t=87,t=88,t=89,t=90,t=91,t=92,t=93,t=94,t=95,t=96,t=97,t=98,t=99,t=100
0,0,0.126837,0.727889,1.11975,1.02192,0.98748,0.978484,0.988122,1.07028,0.742359,0.615576,0.681126,0.710941,0.717492,0.717787,0.717088,0.703032,0.701819,0.701718,0.701965,0.699428,0.698727,0.693959,0.683289,0.645157,0.431294,0.000844469,0.33158,0.412615,0.396177,0.395117,0.410751,0.424931,0.435202,0.442247,0.443816,0.447391,0.452208,0.456381,0.458797,0.458047,0.456959,0.456787,0.456794,0.454479,0.451725,0.449429,0.448716,0.449395,0.45002,0.450593,0.451425,0.452216,0.45291,0.453328,0.453597,0.453242,0.453973,0.454156,0.455463,0.455287,0.455158,0.454763,0.454409,0.454017,0.45377,0.453467,0.453349,0.453295,0.453305,0.453016,0.452549,0.452518,0.452293,0.451885,0.451321,0.450231,0.448381,0.44548,0.44287,0.437406,0.416989,0.358325,0.285816,0.274548,0.280052,0.27459,0.262016,0.255926,0.261939,0.266718,0.270167,0.272682,0.273296,0.272976,0.272795,0.273501,0.274837,0.275765,0.276041,0.275843
0.049,0.685314685,0.104943,0.103057,0.88953,0.61928,0.560327,0.544029,0.547001,0.528752,0.40079,0.337244,0.336764,0.33457,0.33252,0.331549,0.330823,0.331354,0.331287,0.330564,0.329485,0.328016,0.3263,0.323977,0.318506,0.303768,0.252165,0.103901,0.0830511,0.091296,0.0889281,0.0846149,0.08184,0.0814454,0.0797113,0.0746882,0.0722012,0.06898,0.0654604,0.0636229,0.0630038,0.0609998,0.0594193,0.0585331,0.0560471,0.0529843,0.0513753,0.0517409,0.054627,0.0563041,0.0569024,0.0574782,0.0575983,0.0576826,0.0578799,0.0581576,0.0572896,0.0563024,0.0561791,0.0556619,0.0557862,0.0571122,0.0572664,0.0575335,0.0579465,0.0584236,0.0588192,0.0590348,0.0588921,0.0597496,0.0615608,0.0632698,0.0648121,0.0660723,0.0670878,0.0680352,0.0687843,0.0697026,0.0705043,0.0698513,0.066746,0.0538926,0.0215194,0.00151421,0.0315193,0.0754044,0.0825524,0.0742472,0.0696355,0.0739505,0.0786651,0.0783622,0.0774584,0.076757,0.0758691,0.075557,0.0760732,0.0768291,0.0771484,0.0771659,0.0768877,0.0767129
0.081,1.132867133,0.115055,0.562763,0.826771,0.782272,0.693005,0.674755,0.68259,0.683558,0.596325,0.461767,0.437636,0.423745,0.425127,0.423411,0.422907,0.423742,0.421964,0.419995,0.416998,0.413879,0.410754,0.40644,0.398366,0.382159,0.325995,0.205706,0.214009,0.279133,0.281651,0.277501,0.275476,0.27564,0.275025,0.27384,0.272018,0.270637,0.269861,0.269951,0.269912,0.268692,0.266876,0.266481,0.267631,0.270546,0.272779,0.275834,0.27524,0.274699,0.275171,0.275938,0.27616,0.276311,0.276469,0.276368,0.27619,0.276096,0.276178,0.276521,0.277363,0.278915,0.279721,0.280369,0.280922,0.281377,0.28169,0.281885,0.281962,0.282824,0.283959,0.284606,0.284842,0.285323,0.285822,0.286025,0.285932,0.284841,0.283341,0.281321,0.278613,0.270937,0.246111,0.205356,0.188355,0.199409,0.199418,0.192415,0.185124,0.183662,0.186169,0.187383,0.189201,0.190113,0.18962,0.188825,0.188684,0.189101,0.189699,0.19016,0.190397,0.190303
0.124,1.734265734,0.129249,0.770789,1.17472,1.07251,1.03391,1.01733,1.02971,1.06175,0.847997,0.770876,0.753129,0.760818,0.757584,0.762843,0.751355,0.749753,0.749987,0.750177,0.750214,0.75033,0.750379,0.750426,0.749056,0.743349,0.687648,0.105462,0.403678,0.481953,0.4667,0.471788,0.490007,0.506031,0.516961,0.524626,0.528111,0.530474,0.531973,0.533069,0.532701,0.531991,0.530787,0.528359,0.531741,0.532995,0.532884,0.531518,0.529984,0.528686,0.527445,0.52674,0.525704,0.524475,0.523489,0.52247,0.521049,0.519738,0.518544,0.517292,0.516235,0.515372,0.514475,0.513425,0.51241,0.511517,0.51065,0.509809,0.508534,0.507407,0.50648,0.505318,0.504319,0.503139,0.502201,0.501268,0.500223,0.498749,0.49714,0.494151,0.490779,0.482077,0.455182,0.396024,0.30694,0.294431,0.303629,0.305845,0.298288,0.292045,0.295404,0.298811,0.302721,0.306089,0.306635,0.30483,0.30335,0.303129,0.303762,0.30466,0.305076,0.304918
0.163,2.27972028,0.11788,0.751505,0.887475,0.775352,0.730898,0.712657,0.722205,0.734268,0.539903,0.432778,0.39957,0.387617,0.382113,0.379006,0.375563,0.37302,0.370738,0.367935,0.364494,0.360813,0.35681,0.351532,0.342203,0.319551,0.241806,0.171708,0.215298,0.288269,0.291187,0.287298,0.286661,0.288166,0.287734,0.28721,0.285596,0.284082,0.282583,0.280763,0.278628,0.276199,0.273364,0.275649,0.284472,0.28577,0.285149,0.283603,0.280571,0.277715,0.275818,0.276055,0.276836,0.277654,0.278591,0.279426,0.279831,0.280566,0.281081,0.281688,0.282195,0.283157,0.283913,0.284393,0.284843,0.285497,0.286026,0.2867,0.287113,0.288202,0.289253,0.289756,0.290735,0.291144,0.291576,0.291752,0.291485,0.290387,0.289154,0.287401,0.285223,0.278741,0.2556,0.201283,0.168434,0.189981,0.198493,0.194009,0.185782,0.187027,0.195006,0.197805,0.197884,0.198056,0.196873,0.195539,0.195207,0.195635,0.195969,0.195866,0.19556,0.195196
0.202,2.825174825,0.105865,0.215732,0.726646,0.52569,0.442817,0.41476,0.425199,0.430842,0.395527,0.348042,0.330522,0.323011,0.317645,0.314999,0.313512,0.313016,0.312567,0.312101,0.311457,0.310675,0.309533,0.307959,0.303829,0.287714,0.2303,0.100942,0.0813084,0.0886393,0.0888246,0.0849319,0.0794861,0.0748297,0.0759051,0.0781202,0.0807095,0.0846069,0.0886955,0.0918624,0.0913742,0.0905672,0.0902977,0.0906483,0.0882966,0.0874906,0.0846974,0.081443,0.0814352,0.0827232,0.0846736,0.0858159,0.086729,0.0873711,0.0880348,0.0884955,0.0888217,0.0890754,0.0892722,0.0895379,0.0902981,0.091094,0.0919575,0.0926943,0.0934407,0.0945911,0.0961032,0.0975905,0.098718,0.100148,0.101926,0.10371,0.105557,0.107281,0.108955,0.110511,0.111758,0.112977,0.113313,0.112936,0.111357,0.103018,0.0796127,0.050128,0.0578583,0.0908916,0.0959051,0.0858437,0.0803352,0.083508,0.0873886,0.0869717,0.0866073,0.0857366,0.0844147,0.0837905,0.0841051,0.0847094,0.0850439,0.0850629,0.0848164,0.0846604
0.246,3.440559441,0.122469,0.658132,1.04795,0.926421,0.853971,0.84329,0.855229,0.720937,0.651632,0.56641,0.569193,0.575971,0.566169,0.566867,0.558941,0.553606,0.557166,0.549726,0.549216,0.551049,0.554501,0.544205,0.534637,0.514481,0.311356,0.0600259,0.29261,0.373954,0.36837,0.370696,0.37688,0.380711,0.382464,0.382502,0.381217,0.3795,0.378366,0.377058,0.375463,0.374359,0.373436,0.372321,0.372325,0.370016,0.366447,0.364657,0.364366,0.364968,0.367256,0.36963,0.371365,0.3726,0.373722,0.374638,0.37536,0.375713,0.375999,0.376249,0.376593,0.376733,0.377009,0.377331,0.377979,0.378709,0.379452,0.379858,0.379996,0.380117,0.380203,0.380444,0.380567,0.380588,0.380501,0.380214,0.379664,0.3794,0.378116,0.375975,0.373434,0.367473,0.351391,0.304114,0.248119,0.240138,0.243331,0.242649,0.236998,0.234141,0.237844,0.24007,0.241527,0.241956,0.241042,0.239685,0.238718,0.238643,0.238937,0.239186,0.239261,0.239085
0.286,4,0.128593,0.757082,1.03194,1.05497,0.976573,0.954779,0.963902,0.78482,0.714979,0.669956,0.699767,0.696027,0.688334,0.689404,0.691467,0.695268,0.696301,0.696689,0.697197,0.697118,0.697647,0.696494,0.691325,0.640366,0.285439,0.00195335,0.269288,0.37524,0.355415,0.357234,0.372651,0.384468,0.392835,0.39669,0.398296,0.398461,0.399637,0.400323,0.399549,0.399143,0.398602,0.397589,0.39616,0.393912,0.393964,0.396277,0.398694,0.400935,0.403885,0.406632,0.408466,0.41032,0.412176,0.41384,0.415116,0.416323,0.417558,0.418803,0.419707,0.420406,0.421003,0.421605,0.422368,0.423102,0.42368,0.424191,0.424562,0.425681,0.426788,0.427963,0.428578,0.428974,0.42904,0.429056,0.428859,0.428537,0.428268,0.427173,0.426731,0.422962,0.409684,0.342335,0.264002,0.250871,0.265637,0.273152,0.266953,0.260782,0.265959,0.269505,0.271613,0.273047,0.272327,0.270494,0.269152,0.268888,0.269055,0.269297,0.269322,0.269062
0.325,4.545454545,0.106394,0.503981,0.717238,0.584534,0.536184,0.541181,0.541329,0.523587,0.456306,0.399053,0.377051,0.372937,0.366062,0.36298,0.362056,0.362319,0.362268,0.361251,0.36026,0.358892,0.357495,0.35475,0.345993,0.317433,0.231308,0.11854,0.0919811,0.097153,0.0956077,0.0886825,0.0823419,0.0769994,0.0732114,0.0708588,0.0710578,0.0736267,0.0753958,0.0749159,0.0733879,0.0710306,0.0690583,0.0668403,0.0660073,0.0655379,0.0652548,0.0637421,0.0621051,0.0612863,0.0604975,0.0593611,0.0585192,0.0577705,0.0569036,0.0559349,0.05495,0.0546375,0.0544385,0.0542914,0.0545233,0.0547025,0.0547581,0.0550441,0.0553823,0.0557178,0.0557826,0.0555122,0.0547192,0.0550524,0.0564345,0.0574512,0.0575758,0.0576553,0.057716,0.0579394,0.0580131,0.0581229,0.0582475,0.0581927,0.0583466,0.0510963,0.0114328,-0.0313968,-0.0169344,0.0384776,0.0617728,0.0638361,0.0590978,0.0605535,0.0661596,0.0678874,0.0685068,0.0685452,0.0672473,0.0660268,0.0658681,0.0663523,0.0666483,0.0667617,0.0665524,0.0662918
0.357,4.993006993,0.106394,0.503981,0.717238,0.584534,0.536184,0.541181,0.541329,0.523587,0.456306,0.399053,0.377051,0.372937,0.366062,0.36298,0.362056,0.362319,0.362268,0.361251,0.36026,0.358892,0.357495,0.35475,0.345993,0.317433,0.231308,0.11854,0.0919811,0.097153,0.0956077,0.0886825,0.0823419,0.0769994,0.0732114,0.0708588,0.0710578,0.0736267,0.0753958,0.0749159,0.0733879,0.0710306,0.0690583,0.0668403,0.0660073,0.0655379,0.0652548,0.0637421,0.0621051,0.0612863,0.0604975,0.0593611,0.0585192,0.0577705,0.0569036,0.0559349,0.05495,0.0546375,0.0544385,0.0542914,0.0545233,0.0547025,0.0547581,0.0550441,0.0553823,0.0557178,0.0557826,0.0555122,0.0547192,0.0550524,0.0564345,0.0574512,0.0575758,0.0576553,0.057716,0.0579394,0.0580131,0.0581229,0.0582475,0.0581927,0.0583466,0.0510963,0.0114328,-0.0313968,-0.0169344,0.0384776,0.0617728,0.0638361,0.0590978,0.0605535,0.0661596,0.0678874,0.0685068,0.0685452,0.0672473,0.0660268,0.0658681,0.0663523,0.0666483,0.0667617,0.0665524,0.0662918
