x,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13
0,0.05024316,0.05174147,0.05311748,0.03702219,0.03379392,0.03898267,0.08058686,0.07975821,0.07831172,0.0780634,0.04982446,0.02782665,0.09007804
0.049,0.05043295,0.05189229,0.05322145,0.03688434,0.03376959,0.0388361,0.08052904,0.07963158,0.07819952,0.08082111,0.04983257,0.02773897,0.09491027
0.081,0.05054733,0.05197793,0.05328241,0.03693137,0.0338465,0.03887248,0.08050808,0.07959706,0.07815048,0.08061149,0.04987518,0.02770122,0.09555581
0.124,0.05040262,0.05187121,0.05322366,0.03678522,0.03354742,0.03876569,0.08050936,0.07959902,0.0781271,0.08078423,0.0495835,0.02765709,0.09532429
0.163,0.05043561,0.05189495,0.05324415,0.03688648,0.03372761,0.03883398,0.08055339,0.0796529,0.07818367,0.08072447,0.04932357,0.02762249,0.09519234
0.202,0.05055992,0.05199556,0.05331692,0.03704202,0.03406181,0.03891692,0.08056025,0.07969326,0.07822355,0.08086288,0.0499991,0.02758665,0.09495385
0.246,0.05036366,0.05183425,0.05319093,0.03695287,0.03389227,0.03885522,0.08051988,0.07958791,0.07812865,0.0800776,0.05012424,0.02754614,0.09476172
0.286,0.05015786,0.05166098,0.05304472,0.03682114,0.03365564,0.03877783,0.08052071,0.07950428,0.07805839,0.0777482,0.04997011,0.02755956,0.09448071
0.325,0.05030758,0.05178004,0.05312491,0.0366926,0.03358767,0.03864498,0.08051041,0.07951796,0.07806935,0.07772108,0.05016025,0.02762595,0.09407906
0.357,0.05046333,0.05191056,0.05322526,0.03672345,0.03368383,0.03866048,0.08055301,0.07960054,0.07813441,0.07767397,0.05028931,0.02772771,0.09381687
0.399,0.05038731,0.05186791,0.05320467,0.03669898,0.03353414,0.03864365,0.08053342,0.07958701,0.07810558,0.08040856,0.05010394,0.02783679,0.09211062
0.43,0.05033866,0.05183641,0.05318708,0.03676787,0.0335411,0.03871406,0.0805313,0.07959466,0.07811561,0.08106326,0.05024508,0.02786271,0.09426204
0.478,0.05035712,0.05183987,0.05318363,0.0368462,0.03367835,0.03878496,0.08050932,0.07957042,0.07808531,0.0806638,0.05022858,0.02783272,0.09371879
0.51,0.0503707,0.05184685,0.05318548,0.03683644,0.03367138,0.03876952,0.08049783,0.07955793,0.07806689,0.081015,0.05029469,0.02775998,0.09192396
0.552,0.05033278,0.05182933,0.05317718,0.03681891,0.03360455,0.03876252,0.08052757,0.07958776,0.07810879,0.08089699,0.05011456,0.02768109,0.09087084
0.592,0.05038528,0.0518686,0.05320687,0.03670532,0.03352495,0.03864705,0.08052194,0.07957579,0.07809781,0.08094472,0.04983485,0.02761134,0.09126997
0.631,0.05044529,0.05190203,0.05322315,0.03671596,0.03366764,0.03865214,0.08054294,0.07959104,0.07811834,0.07836431,0.05003149,0.02758586,0.12
0.675,0.05030305,0.05177784,0.0531238,0.03668745,0.03359565,0.03863939,0.08050098,0.07951018,0.07805497,0.07775805,0.05014727,0.02753914,0.12
0.715,0.05015034,0.05165568,0.05304213,0.03681955,0.03366351,0.03877386,0.08051943,0.07950435,0.07805871,0.07775501,0.04991127,0.027569,0.12
0.754,0.05036812,0.05184157,0.05319934,0.03695862,0.03391536,0.03885164,0.08054812,0.07958382,0.0781344,0.0799737,0.04999746,0.02762443,0.12
0.796,0.05055368,0.05199382,0.05331826,0.03704116,0.03407135,0.03890662,0.08059088,0.07967786,0.07821726,0.08099658,0.04983048,0.02747872,0.12
0.838,0.05042485,0.05188634,0.05323978,0.0368716,0.03371915,0.03882058,0.08056831,0.07966806,0.07819399,0.0806866,0.04981547,0.02730192,0.12
0.878,0.05038466,0.05185674,0.05321443,0.03676205,0.03353173,0.03875583,0.08053144,0.07963147,0.07815021,0.08070529,0.04955673,0.02682319,0.12
0.917,0.05056244,0.05199434,0.05330544,0.03690717,0.03382165,0.03887803,0.08056906,0.07966204,0.07820403,0.08066722,0.04978183,0.02535478,0.09222932
