x,Run1,Run10,Run11,Run12,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12
0,88.54469874,104.9606313,141.9954068,218.878239,83.96926868,79.57298385,189.6146131,202.4159875,182.643588,26.05845592,27.67535154,30.12064606,37.96487199,67.77657612,223.6082285
0.049,25.16699546,69.07290074,135.285028,193.5208933,23.60346323,23.55134498,52.53196316,46.46204982,48.49146,9.456210422,9.403509539,9.732133852,30.59054481,66.83812809,199.4501167
0.081,61.48534153,19.72358396,118.8307965,145.480405,58.1386644,54.35844824,133.5670153,140.8497853,123.4454057,17.80844668,18.77919442,20.48749818,29.82298594,63.29593778,158.5258664
0.124,98.12233754,3.154307054,106.5086164,67.3972612,92.46720272,87.65158709,222.0435397,245.6262412,204.0644078,28.73097349,30.21381913,32.7651527,25.41840637,58.85731455,96.05758424
0.163,62.46063752,17.8924106,102.8462017,21.94423532,59.34028747,56.51337342,120.3240322,131.8152544,107.9898539,20.22103477,20.96786182,22.47868538,27.23539043,49.97585843,43.98842242
0.202,27.28070874,77.08545179,45.02067119,9.84250141,26.03297394,24.9520159,55.14429024,48.96205345,49.88758696,10.83145432,10.08482525,10.43912158,40.4804577,10.84967787,18.38847848
0.246,77.13541578,115.252672,24.79979814,13.35269622,73.02824935,70.04796894,166.6655734,177.9826694,157.609652,25.29589863,26.28052478,27.79716343,45.20317621,26.65429481,3.907476061
0.286,85.79079355,121.9319034,11.1410389,21.44619189,81.66065272,79.71181166,197.0943406,211.3681848,188.5569098,29.60661549,30.87043552,32.67805339,45.70155599,1.891585986,16.06740667
0.325,20.89018553,121.3948278,13.27636048,28.90560087,20.65382053,20.98661923,37.7449299,31.34969353,38.57968519,12.81519031,12.34208493,13.0047693,45.00122168,6.556909712,32.27962515
0.357,20.89018553,121.3948278,11.68831411,28.90560087,20.65382053,20.98661923,37.7449299,31.34969353,38.57968519,12.81519031,12.34208493,13.0047693,45.00122168,8.909342839,43.80923788
0.399,34.94214737,110.5158489,9.460633831,32.90188996,33.18139596,32.82740765,73.07817149,79.78001565,64.08864814,14.38730864,14.26525099,15.05689715,44.97834078,9.532382623,49.15818697
0.43,80.91236078,33.42056665,10.99153226,37.04836968,76.12287514,72.57578684,192.2895976,213.2760109,179.858234,27.98710303,29.49100391,31.67145178,32.23580019,2.417019123,49.71562455
0.478,58.98191154,11.79676559,16.22891058,40.45956685,57.33840154,54.93734435,135.3335403,143.6012013,126.4026337,21.04746254,21.95654626,23.49425742,28.78639187,5.420475333,46.42430152
0.51,19.09599692,4.274848662,22.830091,41.90054777,21.83027168,20.95897025,47.28932123,47.07483822,39.39441652,9.38175536,8.63530047,8.792501225,28.13380654,25.09124293,39.73505667
0.552,58.90475268,24.03017229,18.5427298,39.41563635,56.52736875,53.81892198,132.7149435,143.7109447,122.0417077,20.57903764,21.60620774,23.0701418,31.16021294,12.13113933,30.63057879
0.592,78.33789908,101.2320566,7.440280041,34.1221153,72.87141693,69.91967105,189.7391631,211.6116589,176.3389203,27.19452879,29.01851068,31.2743469,46.42226534,6.476155098,17.19413212
0.631,34.63727098,114.8655735,11.45975236,26.33234881,33.18752637,32.71983979,70.34232304,79.12207371,61.41327735,14.00884069,13.89710293,14.76730143,44.04727761,4.276812664,13.66480697
0.675,20.41153732,121.3590782,22.83622981,17.84376758,20.38627048,20.91317942,35.89480206,31.1099529,37.2781142,12.46497316,11.93669347,12.71080898,44.94606927,27.23503717,34.24114424
0.715,84.56449254,121.837834,16.61582117,17.6471665,80.85313874,78.8927814,197.8264709,211.4315731,188.9169137,29.6382488,31.13497686,32.90295812,45.80488447,14.01187422,100.9286494
0.754,77.19156643,115.1535096,18.9560628,103.741823,73.17691023,70.00257341,167.718175,178.1129348,157.9000359,25.29847509,26.46942529,27.94161723,45.20890057,19.43918935,132.0577467
0.796,27.58285434,77.00270758,43.38668647,139.2079598,26.16737771,24.97988706,55.15963866,48.91917325,49.59394502,10.76782911,10.31318491,10.68564043,40.54509916,12.76278631,128.86896
0.838,63.0673792,17.83743513,102.8306626,138.3052433,59.66760411,56.34377727,121.8465566,132.3363092,107.5783343,20.0624119,20.90989294,22.45181095,27.31971782,52.27083469,126.7355318
0.878,97.64969704,3.086570372,106.0685169,141.8775709,91.7310516,87.20297993,221.7973894,245.2741937,203.8212754,28.99702641,30.456413,32.87759824,25.4792426,58.93387935,130.3882282
0.917,62.38362793,19.70065872,119.4559903,149.4690218,58.74828765,54.99741229,130.9570872,137.7729378,123.6718141,18.28660626,19.1926046,20.89577337,29.79137864,63.26321236,136.6997888
